Company Name,Company Location,Ratting,Reviews,Company Type,Reason For Review
Motherson Automotive Technologies and Engineering,Chennai +65 other locations,3.8,(1.8k),Auto Components,"Job Security, Skill Development / Learning"
Iris Software,Noida +24 other locations,3.8,(1.8k),IT Services & Consulting,"Work Life Balance, Company Culture, Skill Development / Learning"
Adecco Group,Bangalore / Bengaluru +171 other locations,3.7,(1.8k),Recruitment,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Safexpress,New Delhi +153 other locations,3.9,(1.8k),Logistics,"Job Security, Company Culture, Work Life Balance"
Angel One,Mumbai +129 other locations,3.7,(1.8k),FinTech,"Promotions / Appraisal, Job Security"
Globiva,Gurgaon / Gurugram +26 other locations,3.1,(1.8k),BPO,"Promotions / Appraisal, Work Satisfaction, Job Security"
G R Infraprojects,Gurgaon / Gurugram +151 other locations,4.1,(1.8k),Engineering & Construction,"Salary & Benefits, Skill Development / Learning, Company Culture"
V-Guard Industries,Kochi +161 other locations,4.3,(1.8k),Consumer Electronics & Appliances,"Company Culture, Work Life Balance, Job Security"
KENT RO Systems,Noida +148 other locations,3.8,(1.8k),Consumer Electronics & Appliances,Work Life Balance
K12 Techno Services,Bangalore / Bengaluru +40 other locations,3.6,(1.8k),EdTech,"Job Security, Promotions / Appraisal, Company Culture"
Stellar Migration,,1.3,(1.8k),Dubai +7 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
NTPC,New Delhi +121 other locations,4.2,(1.8k),Power,"Company Culture, Work Life Balance, Skill Development / Learning"
CMS Infosystems,Mumbai +202 other locations,3.5,(1.8k),Other,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Haier Appliances India,Pune +145 other locations,4.0,(1.8k),Consumer Electronics & Appliances,"Skill Development / Learning, Salary & Benefits"
DHL Supply Chain,Mumbai +98 other locations,4.2,(1.8k),Logistics,"Job Security, Company Culture, Work Life Balance"
TVS Sundram Fasteners,Chennai +60 other locations,3.6,(1.8k),Auto Components,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Hindustan Aeronautics,Bangalore / Bengaluru +64 other locations,4.2,(1.8k),Defence & Aerospace,"Work Life Balance, Job Security, Skill Development / Learning"
Thomson Reuters,Bangalore / Bengaluru +26 other locations,4.0,(1.8k),Software Product,"Work Life Balance, Company Culture, Job Security"
HTC Global Services,Chennai +32 other locations,3.4,(1.8k),IT Services & Consulting,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Trent,Mumbai +138 other locations,3.9,(1.8k),Retail,Job Security
Aragen Life Sciences,Hyderabad / Secunderabad +31 other locations,3.9,(1.8k),Clinical Research,"Job Security, Company Culture, Work Life Balance"
AXA Business Services,Pune +11 other locations,3.9,(1.8k),Insurance,"Work Life Balance, Job Security, Company Culture"
Honda Cars,Bhiwadi +111 other locations,4.3,(1.8k),Automobile,"Work Life Balance, Company Culture, Job Security"
Torrent Power,Ahmedabad +58 other locations,3.8,(1.7k),Power,"Job Security, Work Life Balance"
Shadowfax Technologies,Bangalore / Bengaluru +224 other locations,3.5,(1.7k),Logistics,"Job Security, Promotions / Appraisal, Company Culture"
Infinx,Hyderabad / Secunderabad +35 other locations,3.8,(1.7k),Software Product,"Job Security, Work Life Balance"
Trident Group,Barnala +57 other locations,3.3,(1.7k),Fashion & Textile,Salary & Benefits
PI Industries,Vadodara +100 other locations,3.9,(1.7k),Agro Chemicals,Salary & Benefits
Aadhar Housing Finance,Mumbai +316 other locations,4.1,(1.7k),Financial Services,"Company Culture, Job Security, Skill Development / Learning"
Future Retail,Mumbai +198 other locations,4.4,(1.7k),Retail,"Company Culture, Skill Development / Learning, Work Life Balance"
Sterling & Wilson,Mumbai +123 other locations,4.0,(1.7k),Engineering & Construction,"Work Life Balance, Company Culture, Job Security"
CNH (Case New Holland),Gurgaon / Gurugram +131 other locations,3.8,(1.7k),Industrial Machinery,Work Life Balance
Medi Assist India,Bangalore / Bengaluru +64 other locations,3.4,(1.7k),Insurance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tata Power,Mumbai +147 other locations,3.9,(1.7k),Power,"Job Security, Work Life Balance, Skill Development / Learning"
NeoSOFT,Mumbai +24 other locations,3.5,(1.7k),IT Services & Consulting,"Job Security, Promotions / Appraisal, Company Culture"
CorroHealth infotech,Hyderabad / Secunderabad +31 other locations,3.2,(1.7k),Analytics & KPO,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Dhani Loans and Services,Gurgaon / Gurugram +187 other locations,3.9,(1.7k),NBFC,Work Life Balance
ICICI Home Finance,Mumbai +210 other locations,3.7,(1.7k),Financial Services,Salary & Benefits
Cafe Coffee Day,Bangalore / Bengaluru +100 other locations,3.7,(1.7k),Hospitality,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Fusion CX,Kolkata +54 other locations,3.4,(1.7k),BPO,"Promotions / Appraisal, Job Security, Salary & Benefits"
SS&C TECHNOLOGIES,Mumbai +30 other locations,3.3,(1.7k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Jindal Saw,Mundra +75 other locations,4.0,(1.7k),Iron & Steel,"Job Security, Work Life Balance, Salary & Benefits"
MetLife,Noida +42 other locations,4.0,(1.7k),Insurance,"Work Life Balance, Job Security, Company Culture"
Aye Finance,Gurgaon / Gurugram +341 other locations,4.1,(1.7k),NBFC,"Work Life Balance, Salary & Benefits, Company Culture"
Polycab Wires,Vadodara +162 other locations,4.0,(1.7k),Electrical Equipment,"Salary & Benefits, Work Life Balance"
Kalyan Jewellers,Thrissur +149 other locations,4.5,(1.7k),Jewellery,"Company Culture, Job Security, Salary & Benefits"
Innovsource Services,Mumbai +234 other locations,3.9,(1.7k),Recruitment,Promotions / Appraisal
Vedantu,Bangalore / Bengaluru +71 other locations,3.3,(1.7k),EdTech,"Job Security, Promotions / Appraisal, Work Satisfaction"
BT Business,Gurgaon / Gurugram +12 other locations,3.9,(1.7k),Hardware & Networking,"Work Life Balance, Company Culture, Job Security"
Tata Communications Transformation Services,Pune +90 other locations,3.9,(1.7k),Telecom,"Work Life Balance, Company Culture, Job Security"
USHA International,Gurgaon / Gurugram +142 other locations,4.1,(1.7k),Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Job Security"
DIVI'S Laboratories,Visakhapatnam +36 other locations,3.6,(1.7k),Pharma,Salary & Benefits
USV,Mumbai +105 other locations,4.0,(1.7k),Pharma,"Work Life Balance, Company Culture, Job Security"
Reckitt Benckiser,Gurgaon / Gurugram +129 other locations,3.9,(1.7k),FMCG,"Salary & Benefits, Work Life Balance"
American Broadcasting Company,,4.0,(1.7k),Bangalore / Bengaluru +106 other locations,"Work Life Balance, Salary & Benefits, Company Culture"
NEC,Noida +56 other locations,4.2,(1.7k),IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
Hindustan Petroleum,Mumbai +244 other locations,4.2,(1.6k),Oil & Gas,"Company Culture, Work Life Balance, Job Security"
Capri Global Capital,New Delhi +311 other locations,3.6,(1.6k),NBFC,"Work Satisfaction, Job Security, Promotions / Appraisal"
Indian Navy,Mumbai +71 other locations,4.6,(1.6k),Defence & Aerospace,"Job Security, Skill Development / Learning, Company Culture"
TELUS Digital,Noida +26 other locations,3.6,(1.6k),IT Services & Consulting,"Promotions / Appraisal, Job Security, Work Satisfaction"
First American Corporation,Bangalore / Bengaluru +22 other locations,3.5,(1.6k),Insurance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CSB Bank,Mumbai +216 other locations,3.1,(1.6k),Banking,"Promotions / Appraisal, Company Culture, Work Satisfaction"
HDFC Securities,,3.4,(1.6k),Mumbai +183 other locations,"Work Satisfaction, Promotions / Appraisal, Company Culture"
Bata,Gurgaon / Gurugram +145 other locations,3.5,(1.6k),Fashion & Textile,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Metro Cash & Carry,Bangalore / Bengaluru +88 other locations,4.1,(1.6k),Retail,"Work Life Balance, Job Security, Skill Development / Learning"
Haldiram Foods International Limited,Nagpur +151 other locations,3.7,(1.6k),FMCG,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Exela Technologies,Chennai +26 other locations,3.3,(1.6k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Frankfinn Institute of Air Hostess Training,Gurgaon / Gurugram +60 other locations,3.9,(1.6k),Education & Training,"Company Culture, Work Life Balance, Skill Development / Learning"
Mother Dairy Fruit & Vegetable,New Delhi +124 other locations,4.0,(1.6k),Food Processing,"Job Security, Work Life Balance, Company Culture"
Security and Intelligence Services (India),New Delhi +189 other locations,4.1,(1.6k),Law Enforcement & Security,"Work Life Balance, Job Security, Salary & Benefits"
Isgec Heavy Engineering,Noida +85 other locations,3.8,(1.6k),Industrial Machinery,Job Security
Sysnet Global Technologies,New Delhi +150 other locations,3.8,(1.6k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits"
Cavinkare,Chennai +169 other locations,4.0,(1.6k),FMCG,"Salary & Benefits, Company Culture, Work Life Balance"
BA Continuum,Hyderabad / Secunderabad +18 other locations,4.1,(1.6k),NBFC,"Job Security, Work Life Balance, Company Culture"
Godrej Properties,Mumbai +33 other locations,3.6,(1.6k),Real Estate,Salary & Benefits
Pine Labs,Noida +113 other locations,3.3,(1.6k),Financial Services,"Promotions / Appraisal, Work Satisfaction, Job Security"
JSW Bhushan Power & Steel,,4.0,(1.6k),Jharsuguda +62 other locations,Skill Development / Learning
FactSet,Hyderabad / Secunderabad +17 other locations,3.8,(1.6k),Financial Services,"Work Life Balance, Company Culture, Job Security"
Tata Play,Mumbai +216 other locations,4.0,(1.6k),Broadcasting,"Company Culture, Job Security, Salary & Benefits"
HighRadius,Hyderabad / Secunderabad +16 other locations,2.8,(1.6k),Software Product,"Job Security, Work Satisfaction, Company Culture"
Matrimony.com,Chennai +64 other locations,4.0,(1.6k),Internet,"Company Culture, Job Security, Work Life Balance"
Orange Business,Gurgaon / Gurugram +51 other locations,4.2,(1.6k),IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
MagicBricks,Noida +33 other locations,4.2,(1.6k),Internet,"Salary & Benefits, Company Culture, Work Life Balance"
DHL Express,Mumbai +92 other locations,4.1,(1.6k),Logistics,"Job Security, Company Culture, Work Life Balance"
Medanta the Medicity,Gurgaon / Gurugram +46 other locations,4.0,(1.6k),Healthcare,"Job Security, Skill Development / Learning"
Yamaha Motor,Chennai +145 other locations,4.1,(1.6k),Automobile,"Work Life Balance, Company Culture, Work Satisfaction"
Air India,New Delhi +62 other locations,3.5,(1.6k),Aviation,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Johnson & Johnson,Mumbai +164 other locations,4.0,(1.6k),Healthcare,"Company Culture, Work Life Balance, Salary & Benefits"
Verizon,Hyderabad / Secunderabad +10 other locations,3.9,(1.6k),Telecom,"Salary & Benefits, Company Culture, Work Life Balance"
Provana,Noida +11 other locations,4.0,(1.6k),BPO,"Company Culture, Work Life Balance, Job Security"
Cushman & Wakefield,Gurgaon / Gurugram +44 other locations,4.2,(1.6k),Real Estate,"Company Culture, Work Life Balance, Job Security"
Adani Green Energy,Ahmedabad +110 other locations,3.9,(1.6k),Power,"Salary & Benefits, Skill Development / Learning, Job Security"
KONE,Chennai +70 other locations,4.1,(1.6k),Software Product,"Work Life Balance, Job Security, Company Culture"
Caterpillar Inc,Chennai +43 other locations,4.2,(1.6k),Industrial Machinery,"Company Culture, Work Life Balance, Job Security"
Arvind Group,Ahmedabad +92 other locations,3.9,(1.6k),Fashion & Textile,"Work Life Balance, Job Security"
CMA CGM,Chennai +34 other locations,3.9,(1.5k),Ports & Shipping,"Job Security, Company Culture"
HERE Technologies,Mumbai +19 other locations,3.8,(1.5k),IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
Procter & Gamble,Mumbai +241 other locations,4.1,(1.5k),FMCG,"Company Culture, Skill Development / Learning, Work Life Balance"
LivSpace,Bangalore / Bengaluru +51 other locations,3.4,(1.5k),Architecture & Interior Design,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Tata Teleservices,Mumbai +135 other locations,3.8,(1.5k),Telecom,"Work Life Balance, Skill Development / Learning"
Chegg,New Delhi +76 other locations,4.1,(1.5k),EdTech,"Work Life Balance, Company Culture, Skill Development / Learning"
Wipro Enterprises Ltd,Bangalore / Bengaluru +117 other locations,3.8,(1.5k),FMCG,Job Security
Vardhman Fabrics,Baddi +60 other locations,4.0,(1.5k),Fashion & Textile,"Job Security, Company Culture, Work Life Balance"
Honda,Gurgaon / Gurugram +222 other locations,4.1,(1.5k),Automobile,"Work Life Balance, Job Security, Company Culture"
CG Power and Industrial Solutions,Bhopal +91 other locations,3.9,(1.5k),Electrical Equipment,Job Security
L.G.Balakrishnan & Bros,Coimbatore +57 other locations,3.5,(1.5k),Auto Components,Job Security
Annapurna Finance,Bhubaneswar +369 other locations,3.9,(1.5k),NBFC,Salary & Benefits
Granules India Limited,Hyderabad / Secunderabad +19 other locations,3.8,(1.5k),Pharma,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Hitachi Astemo,Neemrana +50 other locations,4.1,(1.5k),Auto Components,"Company Culture, Work Life Balance, Job Security"
NTT DATA Business Solutions,Bangalore / Bengaluru +31 other locations,3.9,(1.5k),IT Services & Consulting,"Work Life Balance, Job Security"
Hero Motors Company,Ghaziabad +221 other locations,4.0,(1.5k),Automobile,"Company Culture, Work Life Balance, Work Satisfaction"
Emami,Kolkata +167 other locations,3.8,(1.5k),FMCG,"Work Life Balance, Job Security"
Wockhardt,Aurangabad +80 other locations,3.8,(1.5k),Pharma,"Work Life Balance, Company Culture"
Belrise Industries,Pune +52 other locations,3.8,(1.5k),Auto Components,Promotions / Appraisal
AkzoNobel,Pune +152 other locations,4.0,(1.5k),Chemicals,"Salary & Benefits, Company Culture, Work Life Balance"
Krishna Maruti,Gurgaon / Gurugram +47 other locations,3.8,(1.5k),Auto Components,"Job Security, Work Life Balance"
HCL Infosystems,Noida +105 other locations,3.9,(1.5k),IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
Marico,Mumbai +173 other locations,3.9,(1.5k),FMCG,"Company Culture, Job Security, Skill Development / Learning"
Mercer,New Delhi +17 other locations,3.6,(1.5k),Management Consulting,Job Security
TTEC India,Ahmedabad +34 other locations,3.6,(1.5k),BPO,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Acmegrade,Bangalore / Bengaluru +20 other locations,3.9,(1.5k),EdTech,"Company Culture, Work Satisfaction, Job Security"
Compass Group Support Services,Bangalore / Bengaluru +72 other locations,4.0,(1.5k),Facility Management Services,"Company Culture, Work Life Balance, Work Satisfaction"
Clover Infotech,Mumbai +22 other locations,3.4,(1.5k),IT Services & Consulting,"Promotions / Appraisal, Company Culture, Work Satisfaction"
iOPEX Technologies,Chennai +16 other locations,3.3,(1.5k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Company Culture"
IIFL SAMASTA,Bangalore / Bengaluru +378 other locations,3.8,(1.5k),NBFC,Promotions / Appraisal
Welspun Living Limited,Anjar +79 other locations,3.9,(1.5k),Fashion & Textile,Skill Development / Learning
Godrej Industries Group,Mumbai +146 other locations,3.9,(1.5k),Chemicals,"Job Security, Company Culture, Work Life Balance"
Digit Insurance,Bangalore / Bengaluru +82 other locations,3.6,(1.5k),Internet,Promotions / Appraisal
KFC,New Delhi +170 other locations,4.0,(1.5k),Hospitality,"Skill Development / Learning, Company Culture, Job Security"
ReNew,Gurgaon / Gurugram +103 other locations,4.3,(1.5k),Power,"Job Security, Company Culture, Work Life Balance"
Oracle Cerner,Bangalore / Bengaluru +7 other locations,3.4,(1.5k),Software Product,Work Life Balance
ZF Commercial Vehicle Control Systems,Chennai +48 other locations,3.9,(1.5k),Auto Components,Promotions / Appraisal
Satin Creditcare Network,Gurgaon / Gurugram +304 other locations,4.0,(1.5k),NBFC,"Salary & Benefits, Company Culture, Work Life Balance"
Patanjali Foods,Haridwar +223 other locations,3.8,(1.5k),FMCG,Salary & Benefits
Marriott International,Bangalore / Bengaluru +90 other locations,4.1,(1.5k),Hospitality,"Job Security, Skill Development / Learning, Company Culture"
Goldman Sachs,Bangalore / Bengaluru +22 other locations,3.4,(1.5k),Financial Services,"Work Life Balance, Job Security, Promotions / Appraisal"
ITD Cementation India,Kolkata +88 other locations,4.2,(1.5k),Engineering & Construction,"Job Security, Salary & Benefits, Company Culture"
Relaxo Footwear,New Delhi +150 other locations,4.0,(1.4k),Fashion & Textile,"Job Security, Work Life Balance, Salary & Benefits"
Toyota Kirloskar Motor,Bangalore / Bengaluru +88 other locations,4.3,(1.4k),Automobile,"Company Culture, Skill Development / Learning, Job Security"
Teva Pharmaceuticals,Bangalore / Bengaluru +52 other locations,3.9,(1.4k),Pharma,"Work Life Balance, Company Culture"
Asahi India Glass,Chennai +82 other locations,3.8,(1.4k),Auto Components,"Job Security, Skill Development / Learning"
Suguna Foods,Coimbatore +197 other locations,4.0,(1.4k),Food Processing,Company Culture
Bajaj Capital,New Delhi +164 other locations,3.6,(1.4k),Financial Services,"Promotions / Appraisal, Work Satisfaction, Job Security"
Broadridge Financial Solutions,Hyderabad / Secunderabad +14 other locations,3.8,(1.4k),FinTech,"Job Security, Work Life Balance"
Veritas Finance,Chennai +289 other locations,4.4,(1.4k),NBFC,"Company Culture, Work Life Balance, Work Satisfaction"
Taurus BPO Services,Pune +23 other locations,4.4,(1.4k),BPO,"Company Culture, Work Life Balance, Skill Development / Learning"
Dixon Technologies,Noida +41 other locations,3.9,(1.4k),Electronics Manufacturing,"Job Security, Skill Development / Learning"
Tata 1mg,Gurgaon / Gurugram +61 other locations,3.6,(1.4k),Internet,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Tesco,Bangalore / Bengaluru +17 other locations,3.6,(1.4k),Retail,"Work Life Balance, Job Security"
Dainik Bhaskar Group,Bhopal +135 other locations,4.1,(1.4k),Printing & Publishing,"Company Culture, Skill Development / Learning, Work Life Balance"
IFB,Bangalore / Bengaluru +166 other locations,3.6,(1.4k),Consumer Electronics & Appliances,"Promotions / Appraisal, Company Culture, Work Satisfaction"
XL Dynamics,Mumbai +31 other locations,3.2,(1.4k),IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Max Fashion,Bangalore / Bengaluru +149 other locations,4.1,(1.4k),Retail,"Job Security, Skill Development / Learning, Company Culture"
Honeywell Technology Solutions,Bangalore / Bengaluru +18 other locations,3.7,(1.4k),Defence & Aerospace,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Rungta Mines,Chaibasa +46 other locations,4.0,(1.4k),Metals & Mining,"Work Life Balance, Job Security, Salary & Benefits"
Nayara Energy,Jamnagar +95 other locations,4.1,(1.4k),Petrochemicals,"Salary & Benefits, Work Life Balance, Job Security"
Supreme Industries,Gwalior +116 other locations,4.1,(1.4k),Petrochemicals,"Job Security, Work Life Balance, Work Satisfaction"
Evalueserve,Gurgaon / Gurugram +14 other locations,3.1,(1.4k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amul India,Mumbai +200 other locations,4.1,(1.4k),Food Processing,"Job Security, Work Life Balance, Company Culture"
IndiaFirst Life Insurance,Mumbai +232 other locations,3.8,(1.4k),Insurance,Salary & Benefits
Oberoi Group of Hotels,New Delhi +37 other locations,4.1,(1.4k),Hospitality,"Job Security, Skill Development / Learning, Company Culture"
Lumax Industries,Gurgaon / Gurugram +39 other locations,4.0,(1.4k),Auto Components,"Job Security, Skill Development / Learning"
BVG India,Pune +121 other locations,4.2,(1.4k),Facility Management Services,"Work Life Balance, Company Culture, Work Satisfaction"
Bisleri,Mumbai +166 other locations,4.2,(1.4k),Beverage,"Work Life Balance, Job Security, Work Satisfaction"
Gujarat Fluorochemicals,Bharuch +32 other locations,3.8,(1.4k),Chemicals,"Job Security, Work Life Balance"
Infra.Market,Mumbai +107 other locations,3.8,(1.4k),Building Material,"Salary & Benefits, Work Life Balance"
Tata Group,Mumbai +167 other locations,4.2,(1.4k),IT Services & Consulting,"Company Culture, Work Life Balance, Job Security"
Shriram Life Insurance,Hyderabad / Secunderabad +308 other locations,3.5,(1.4k),Insurance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Sanofi,Hyderabad / Secunderabad +87 other locations,4.1,(1.4k),Pharma,"Work Life Balance, Company Culture, Work Satisfaction"
Aon,Gurgaon / Gurugram +23 other locations,3.8,(1.4k),Financial Services,"Job Security, Company Culture, Work Life Balance"
NIIT,Gurgaon / Gurugram +102 other locations,3.5,(1.4k),Education & Training,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Steel Strips Wheels,Chennai +48 other locations,3.7,(1.4k),Auto Components,"Company Culture, Work Satisfaction, Promotions / Appraisal"
GMR Group,New Delhi +66 other locations,4.0,(1.4k),Engineering & Construction,"Job Security, Work Life Balance, Company Culture"
Gland Pharma,Hyderabad / Secunderabad +34 other locations,3.9,(1.4k),Medical Equipment,"Work Life Balance, Job Security"
IDC Technologies,Noida +65 other locations,3.1,(1.4k),IT Services & Consulting,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Ashoka Buildcon,Nashik +149 other locations,4.1,(1.4k),Engineering & Construction,"Company Culture, Work Life Balance, Work Satisfaction"
GE VERNOVA,Bangalore / Bengaluru +79 other locations,4.1,(1.4k),Power,"Company Culture, Work Life Balance, Salary & Benefits"
Orchids International School,Bangalore / Bengaluru +34 other locations,3.7,(1.4k),Education & Training,Skill Development / Learning
QualityKiosk Technologies,Mumbai +20 other locations,3.3,(1.4k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
NielsenIQ,Chennai +50 other locations,3.6,(1.4k),IT Services & Consulting,Work Life Balance
Canara Bank,Bangalore / Bengaluru +204 other locations,3.4,(1.4k),Banking,Job Security
Hyatt Regency,New Delhi +47 other locations,4.1,(1.4k),Hospitality,"Job Security, Company Culture, Skill Development / Learning"
Schindler,Pune +68 other locations,4.0,(1.4k),Industrial Machinery,"Company Culture, Skill Development / Learning, Salary & Benefits"
Tanishq,Kolkata +228 other locations,4.3,(1.4k),Jewellery,"Skill Development / Learning, Company Culture, Work Life Balance"
Daimler India Commercial Vehicles,Chennai +48 other locations,3.9,(1.4k),Automobile,"Work Life Balance, Job Security, Company Culture"
Kotak Mahindra Prime,Mumbai +164 other locations,3.9,(1.4k),NBFC,"Company Culture, Work Life Balance, Job Security"
Hinduja Leyland Finance,Chennai +281 other locations,4.0,(1.4k),NBFC,"Work Life Balance, Company Culture, Job Security"
Valeo,Chennai +22 other locations,3.9,(1.4k),Auto Components,"Work Life Balance, Company Culture, Job Security"
Karur Vysya Bank,Chennai +180 other locations,3.5,(1.4k),Banking,"Promotions / Appraisal, Company Culture, Work Satisfaction"
ISS Facility Services,Mumbai +64 other locations,4.0,(1.4k),Facility Management Services,"Work Life Balance, Job Security, Company Culture"
Urban Company,Gurgaon / Gurugram +58 other locations,3.4,(1.4k),Internet,"Job Security, Promotions / Appraisal, Work Life Balance"
Page Industries,Bangalore / Bengaluru +159 other locations,4.2,(1.4k),Fashion & Textile,"Job Security, Company Culture, Work Life Balance"
AB InBev India,Bangalore / Bengaluru +76 other locations,3.4,(1.4k),Beverage,"Promotions / Appraisal, Work Satisfaction, Job Security"
SAI Life Sciences,Hyderabad / Secunderabad +24 other locations,3.9,(1.4k),Clinical Research,"Salary & Benefits, Company Culture, Skill Development / Learning"
Wheelseye Technology,Gurgaon / Gurugram +217 other locations,3.5,(1.4k),Internet,"Job Security, Promotions / Appraisal, Company Culture"
Bharat Forge,Pune +27 other locations,3.8,(1.4k),Auto Components,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Indoco Remedies,Mumbai +82 other locations,3.4,(1.4k),Pharma,"Job Security, Promotions / Appraisal, Company Culture"
Devyani International,New Delhi +123 other locations,3.8,(1.4k),Hospitality,Skill Development / Learning
TCS iON,Chennai +113 other locations,3.9,(1.4k),IT Services & Consulting,"Job Security, Company Culture"
Narayana Educational Society,Hyderabad / Secunderabad +142 other locations,3.5,(1.4k),Education & Training,"Promotions / Appraisal, Work Life Balance, Company Culture"
Sony,New Delhi +141 other locations,4.2,(1.4k),Consumer Electronics & Appliances,"Company Culture, Work Life Balance, Work Satisfaction"
Suryoday Small Finance Bank,Mumbai +202 other locations,3.8,(1.4k),Banking,Salary & Benefits
Faurecia,Pune +28 other locations,3.9,(1.3k),Auto Components,"Company Culture, Skill Development / Learning"
Tata AutoComp Systems,Pune +41 other locations,3.8,(1.3k),Auto Components,Job Security
FedEx Express,Mumbai +93 other locations,3.9,(1.3k),Logistics,"Work Life Balance, Company Culture, Job Security"
Sonata Software,Bangalore / Bengaluru +17 other locations,3.3,(1.3k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Company Culture"
The Muthoot Group,New Delhi +298 other locations,3.6,(1.3k),Financial Services,"Promotions / Appraisal, Company Culture, Work Life Balance"
Piramal Pharma,Mumbai +80 other locations,4.0,(1.3k),Pharma,"Job Security, Company Culture, Work Life Balance"
Xiaomi,Bangalore / Bengaluru +207 other locations,3.8,(1.3k),Consumer Electronics & Appliances,"Promotions / Appraisal, Job Security"
Apco Infratech,Lucknow +89 other locations,3.7,(1.3k),Engineering & Construction,"Job Security, Company Culture, Promotions / Appraisal"
Big Bazaar,New Delhi +158 other locations,4.4,(1.3k),Retail,"Skill Development / Learning, Company Culture, Work Satisfaction"
J. Kumar Infraprojects,Mumbai +39 other locations,4.1,(1.3k),Engineering & Construction,"Work Life Balance, Job Security, Work Satisfaction"
CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),Pune +47 other locations,3.6,(1.3k),Auto Components,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Tietoevry,Pune +13 other locations,4.2,(1.3k),IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
Unisys,Bangalore / Bengaluru +18 other locations,3.5,(1.3k),IT Services & Consulting,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Acuity Knowledge Partners,Bangalore / Bengaluru +16 other locations,3.2,(1.3k),Analytics & KPO,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Tata Consumer Products,Bangalore / Bengaluru +211 other locations,3.5,(1.3k),FMCG,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Amneal Pharmaceuticals,Ahmedabad +41 other locations,4.1,(1.3k),Pharma,"Work Life Balance, Job Security, Company Culture"
Indegene,Bangalore / Bengaluru +31 other locations,3.3,(1.3k),Analytics & KPO,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Sheenlac Paints,Chennai +160 other locations,4.3,(1.3k),Chemicals,"Salary & Benefits, Company Culture, Work Life Balance"
Heritage Foods,Hyderabad / Secunderabad +117 other locations,4.1,(1.3k),Food Processing,"Company Culture, Work Life Balance, Job Security"
Jaquar,Gurgaon / Gurugram +110 other locations,4.1,(1.3k),Building Material,"Job Security, Work Life Balance, Company Culture"
Aforeserve,Mumbai +157 other locations,3.3,(1.3k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Job Security"
VLCC,New Delhi +110 other locations,3.4,(1.3k),Beauty & Personal Care,"Promotions / Appraisal, Company Culture, Work Life Balance"
Paytm Payments Bank,Noida +133 other locations,3.9,(1.3k),Banking,"Work Life Balance, Work Satisfaction, Salary & Benefits"
Chetu,Noida +13 other locations,3.4,(1.3k),Software Product,"Job Security, Company Culture, Work Life Balance"
Morningstar,Mumbai +18 other locations,3.8,(1.3k),Financial Services,"Work Life Balance, Company Culture, Job Security"
Vfs Global Services,Mumbai +31 other locations,3.5,(1.3k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Company Culture"
