Company Name,Company Location,Ratting,Reviews,Company Type,Reason For Review
Tejas Networks,Bangalore / Bengaluru +33 other locations,3.9,(578),Hardware & Networking,Promotions / Appraisal
mPokket,Kolkata +17 other locations,3.7,(577),NBFC,"Work Satisfaction, Promotions / Appraisal"
ACKO,Bangalore / Bengaluru +12 other locations,3.6,(578),FinTech,"Promotions / Appraisal, Work Satisfaction, Job Security"
Sudarshan Chemical Industries,Roha +25 other locations,3.8,(576),Chemicals,Skill Development / Learning
GlobalData,Hyderabad / Secunderabad +14 other locations,3.3,(576),Analytics & KPO,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Shalby Hospitals,Ahmedabad +23 other locations,4.2,(576),Healthcare,"Work Life Balance, Skill Development / Learning, Company Culture"
Geojit Financial Services,Kochi +134 other locations,3.5,(576),Financial Services,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Agrostar,Pune +48 other locations,3.9,(575),Internet,"Company Culture, Skill Development / Learning"
Y-Axis Overseas Careers,Hyderabad / Secunderabad +17 other locations,3.4,(576),Legal,"Promotions / Appraisal, Company Culture, Job Security"
Family Health Plan,Hyderabad / Secunderabad +37 other locations,3.7,(575),Insurance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Narayana e-Techno School,Bangalore / Bengaluru +93 other locations,3.7,(575),Education & Training,Skill Development / Learning
Mavenir Systems,Bangalore / Bengaluru +19 other locations,3.3,(575),IT Services & Consulting,"Promotions / Appraisal, Job Security, Company Culture"
AVTEC,Hosur +24 other locations,3.5,(574),Auto Components,"Promotions / Appraisal, Job Security, Salary & Benefits"
Coal India,Kolkata +62 other locations,4.0,(573),Metals & Mining,"Job Security, Salary & Benefits, Work Life Balance"
JSW Energy,Mumbai +64 other locations,4.1,(573),Power,"Job Security, Salary & Benefits, Work Life Balance"
Saudi Aramco,Mumbai +35 other locations,4.5,(573),Oil & Gas,"Company Culture, Work Life Balance, Work Satisfaction"
Jubilant Generics,Roorkee +25 other locations,3.9,(573),Pharma,Salary & Benefits
Wissen Technology,Bangalore / Bengaluru +8 other locations,3.8,(573),IT Services & Consulting,Promotions / Appraisal
Excitel Broadband,New Delhi +44 other locations,3.6,(574),Telecom,"Promotions / Appraisal, Job Security, Company Culture"
Suroj Buildcon,Pune +42 other locations,4.2,(573),Engineering & Construction,"Company Culture, Job Security, Skill Development / Learning"
Super Smelters,Asansol +23 other locations,3.9,(572),Metals & Mining,"Skill Development / Learning, Work Life Balance"
BMC Software,Pune +10 other locations,4.0,(572),IT Services & Consulting,"Company Culture, Work Life Balance, Salary & Benefits"
Allcargo Logistics,Mumbai +63 other locations,3.7,(572),Logistics,Promotions / Appraisal
EaseMyTrip.com,New Delhi +7 other locations,3.9,(572),Internet,"Work Life Balance, Work Satisfaction, Skill Development / Learning"
Varun Motors,Hyderabad / Secunderabad +39 other locations,3.8,(572),Automobile,Job Security
Quest Retail Private Limited,Gurgaon / Gurugram +62 other locations,4.1,(571),Retail,"Skill Development / Learning, Work Life Balance, Job Security"
Sapphire Foods India,Mumbai +61 other locations,3.8,(572),Retail,Skill Development / Learning
Finastra,Bangalore / Bengaluru +12 other locations,3.7,(570),Software Product,Work Life Balance
Annalect,Bangalore / Bengaluru +13 other locations,3.3,(569),Marketing & Advertising,"Promotions / Appraisal, Work Satisfaction, Job Security"
National Stock Exchange of India,Mumbai +33 other locations,3.6,(569),Financial Services,Job Security
IDBI Intech Limited,Mumbai +28 other locations,3.3,(569),IT Services & Consulting,Job Security
Affinity Express,Pune +12 other locations,3.0,(568),Marketing & Advertising,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Finolex Industries,Pune +70 other locations,3.6,(567),Building Material,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Medley Pharmaceuticals,Mumbai +73 other locations,3.8,(567),Pharma,"Work Life Balance, Company Culture, Job Security"
GAMMON INDIA,Mumbai +71 other locations,3.7,(567),Engineering & Construction,Promotions / Appraisal
Ferrero,Pune +94 other locations,3.9,(566),Food Processing,"Salary & Benefits, Skill Development / Learning, Company Culture"
Gestamp,Pune +10 other locations,3.5,(566),Auto Components,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ferrero,Pune +94 other locations,3.9,(566),Food Processing,"Salary & Benefits, Skill Development / Learning, Company Culture"
Revolut,Bangalore / Bengaluru +22 other locations,2.6,(566),FinTech,Salary & Benefits
